年,週,年齡別,縣市,急性腹瀉急診就診人次
2007,09,13-18,台東縣,4
2007,09,13-18,雲林縣,7
2007,09,13-18,基隆市,5
2007,09,19-64,嘉義市,34
2007,09,19-64,嘉義縣,31
2007,09,19-64,桃園市,321
2007,09,19-64,屏東縣,131
2007,09,19-64,南投縣,98
2007,09,19-64,彰化縣,34
2007,09,19-64,宜蘭縣,52
2007,09,19-64,新北市,508
2007,09,19-64,新竹市,286
2007,09,19-64,新竹縣,106
2007,09,19-64,花蓮縣,14
2007,09,19-64,苗栗縣,104
2007,09,19-64,高雄市,497
2007,09,19-64,台北市,633
2007,09,19-64,台中市,396
2007,09,19-64,台南市,205
2007,09,19-64,台東縣,27
2007,09,19-64,雲林縣,57
2007,09,19-64,基隆市,67
2007,09,65+,嘉義市,12
2007,09,65+,嘉義縣,4
2007,09,65+,桃園市,45
2007,09,65+,屏東縣,15
2007,09,65+,南投縣,22
2007,09,65+,彰化縣,6
2007,09,65+,宜蘭縣,9
2007,09,65+,新北市,54
2007,09,65+,新竹市,26
2007,09,65+,新竹縣,18
2007,09,65+,花蓮縣,2
2007,09,65+,苗栗縣,21
2007,09,65+,高雄市,72
2007,09,65+,台北市,101
2007,09,65+,台中市,33
2007,09,65+,台南市,43
2007,09,65+,台東縣,9
2007,09,65+,雲林縣,10
2007,09,65+,基隆市,11
2007,09,7-12,嘉義市,5
2007,09,7-12,嘉義縣,3
2007,09,7-12,桃園市,23
2007,09,7-12,屏東縣,8
2007,09,7-12,南投縣,14
2007,09,7-12,彰化縣,4
2007,09,7-12,宜蘭縣,9
2007,09,7-12,新北市,49
