確定病名,死亡年份,死亡週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,死亡病例數,縣市別代碼,鄉鎮別代碼
19SC,2025,25,彰化縣,花壇鄉,F,0,70+,1,10007,10007080
19SC,2025,25,南投縣,埔里鎮,F,0,70+,1,10008,10008020
19SC,2025,25,南投縣,埔里鎮,M,0,70+,1,10008,10008020
19SC,2025,25,嘉義縣,太保市,M,0,70+,1,10010,10010010
19SC,2025,25,嘉義縣,水上鄉,M,0,70+,1,10010,10010120
19SC,2025,25,屏東縣,九如鄉,M,0,70+,1,10013,10013080
19SC,2025,25,屏東縣,潮州鎮,F,0,70+,1,10013,10013020
19SC,2025,25,屏東縣,萬丹鄉,M,0,60~64,1,10013,10013050
19SC,2025,25,屏東縣,麟洛鄉,F,0,70+,1,10013,10013070
19SC,2025,25,台東縣,台東市,F,0,70+,1,10014,10014010
19SC,2025,25,花蓮縣,吉安鄉,M,0,70+,1,10015,10015050
19SC,2025,25,花蓮縣,花蓮市,M,0,70+,1,10015,10015010
19SC,2025,25,基隆市,信義區,M,0,65~69,1,10017,10017070
19SC,2025,25,新竹市,北區,M,0,70+,1,10018,10018020
19SC,2025,25,台北市,北投區,M,0,70+,1,63000,63000120
19SC,2025,25,台北市,南港區,F,0,70+,1,63000,63000090
19SC,2025,25,台北市,萬華區,F,0,70+,1,63000,63000070
19SC,2025,25,高雄市,旗山區,M,0,65~69,1,64000,64000300
19SC,2025,25,新北市,中和區,M,0,70+,2,65000,65000030
19SC,2025,25,新北市,土城區,F,0,60~64,1,65000,65000130
19SC,2025,25,台中市,北區,F,0,70+,1,66000,66000050
19SC,2025,25,台中市,北區,M,0,70+,1,66000,66000050
19SC,2025,25,台中市,大里區,F,0,70+,1,66000,66000280
19SC,2025,25,台中市,清水區,M,0,65~69,1,66000,66000120
19SC,2025,25,台中市,西區,F,0,70+,1,66000,66000040
19SC,2025,25,台中市,豐原區,F,0,70+,1,66000,66000090
19SC,2025,25,台南市,北區,F,0,60~64,1,67000,67000340
19SC,2025,25,台南市,南區,M,0,70+,1,67000,67000330
19SC,2025,25,台南市,安平區,F,0,70+,1,67000,67000360
19SC,2025,25,台南市,永康區,M,0,60~64,1,67000,67000310
19SC,2025,25,桃園市,平鎮區,F,0,70+,1,68000,68000100
19SC,2025,25,桃園市,桃園區,M,0,65~69,1,68000,68000010
19SC,2025,25,桃園市,蘆竹區,F,0,70+,1,68000,68000050
